// HCs - 2025-09-05T20:39:10.043Z
//notes:Word of Crota - Rank 1, Tier S by TheAegisRelic __ Column 1: Repulsor Brace, Dragonfly __ Column 2: Destabilizing Rounds __ Origin Trait: Cursed Thrall
//notes:Unloved - Rank 7, Tier A by TheAegisRelic __ Column 1: Rapid Hit, Dragonfly __ Column 2: Elemental Honing, Frenzy __ Origin Trait: Subjugation
dimwishlist:item=2485881870&perks=247725512,1089671869,1298135794
dimwishlist:item=2485881870&perks=247725512,496047945,1298135794
dimwishlist:item=2485881870&perks=2938480696,1089671869,1298135794
dimwishlist:item=2485881870&perks=2938480696,496047945,1298135794
dimwishlist:item=2485881870&perks=247725512,4104185692,1298135794
dimwishlist:item=2485881870&perks=247725512,3007133316,1298135794
dimwishlist:item=2485881870&perks=2938480696,4104185692,1298135794
dimwishlist:item=2485881870&perks=2938480696,3007133316,1298135794
dimwishlist:item=2485881870&perks=2848615171,1089671869,1298135794
dimwishlist:item=2485881870&perks=2848615171,496047945,1298135794
dimwishlist:item=2485881870&perks=169755979,1089671869,1298135794
dimwishlist:item=2485881870&perks=169755979,496047945,1298135794
dimwishlist:item=2485881870&perks=2848615171,4104185692,1298135794
dimwishlist:item=2485881870&perks=2848615171,3007133316,1298135794
dimwishlist:item=2485881870&perks=169755979,4104185692,1298135794
dimwishlist:item=2485881870&perks=169755979,3007133316,1298135794



//notes:Solemn Remembrance - Rank 8, Tier A by TheAegisRelic __ Column 1: Headstone __ Column 2: Firefly, Rimestealer __ Origin Trait: None
dimwishlist:item=4116518582&perks=124408337,1561789734
dimwishlist:item=4116518582&perks=124408337,1183436451
dimwishlist:item=4116518582&perks=1171887445,1561789734
dimwishlist:item=4116518582&perks=1171887445,1183436451
dimwishlist:item=4116518582&perks=124408337,1955165503
dimwishlist:item=4116518582&perks=124408337,2617553311
dimwishlist:item=4116518582&perks=1171887445,1955165503
dimwishlist:item=4116518582&perks=1171887445,2617553311



//notes:Ancient Gospel - Rank 9, Tier A by TheAegisRelic __ Column 1: Destabilizing Rounds __ Column 2: Explosive Payload __ Origin Trait: Photoinhibition
dimwishlist:item=48643186&perks=2048641572,3038247973,511914882
dimwishlist:item=48643186&perks=2048641572,64866129,511914882
dimwishlist:item=48643186&perks=1926441324,3038247973,511914882
dimwishlist:item=48643186&perks=1926441324,64866129,511914882
dimwishlist:item=963574173&perks=2048641572,3038247973,511914882
dimwishlist:item=963574173&perks=2048641572,64866129,511914882
dimwishlist:item=963574173&perks=1926441324,3038247973,511914882
dimwishlist:item=963574173&perks=1926441324,64866129,511914882



//notes:Zaouli's Bane - Rank 10, Tier A by TheAegisRelic __ Column 1: Explosive Payload __ Column 2: Incandescent, One for All __ Origin Trait: Runneth Over
dimwishlist:item=291092617&perks=3038247973,4293542123,120721526
dimwishlist:item=291092617&perks=3038247973,2675184851,120721526
dimwishlist:item=291092617&perks=64866129,4293542123,120721526
dimwishlist:item=291092617&perks=64866129,2675184851,120721526
dimwishlist:item=291092617&perks=3038247973,4049631843,120721526
dimwishlist:item=291092617&perks=3038247973,859780267,120721526
dimwishlist:item=291092617&perks=64866129,4049631843,120721526
dimwishlist:item=291092617&perks=64866129,859780267,120721526
dimwishlist:item=431721920&perks=3038247973,4293542123,120721526
dimwishlist:item=431721920&perks=3038247973,2675184851,120721526
dimwishlist:item=431721920&perks=64866129,4293542123,120721526
dimwishlist:item=431721920&perks=64866129,2675184851,120721526
dimwishlist:item=431721920&perks=3038247973,4049631843,120721526
dimwishlist:item=431721920&perks=3038247973,859780267,120721526
dimwishlist:item=431721920&perks=64866129,4049631843,120721526
dimwishlist:item=431721920&perks=64866129,859780267,120721526



//notes:Midnight Coup - Rank 11, Tier A by TheAegisRelic __ Column 1: Firefly, Shoot to Loot, Explosive Payload __ Column 2: Kinetic Tremors, Frenzy, One for All __ Origin Trait: Indomitability
dimwishlist:item=1128225405&perks=1561789734,3891536761,2489430594
dimwishlist:item=1128225405&perks=1561789734,1549370717,2489430594
dimwishlist:item=1128225405&perks=1183436451,3891536761,2489430594
dimwishlist:item=1128225405&perks=1183436451,1549370717,2489430594
dimwishlist:item=1128225405&perks=1561789734,4104185692,2489430594
dimwishlist:item=1128225405&perks=1561789734,3007133316,2489430594
dimwishlist:item=1128225405&perks=1183436451,4104185692,2489430594
dimwishlist:item=1128225405&perks=1183436451,3007133316,2489430594
dimwishlist:item=1128225405&perks=1561789734,4049631843,2489430594
dimwishlist:item=1128225405&perks=1561789734,859780267,2489430594
dimwishlist:item=1128225405&perks=1183436451,4049631843,2489430594
dimwishlist:item=1128225405&perks=1183436451,859780267,2489430594
dimwishlist:item=1128225405&perks=3700496672,3891536761,2489430594
dimwishlist:item=1128225405&perks=3700496672,1549370717,2489430594
dimwishlist:item=1128225405&perks=2840833776,3891536761,2489430594
dimwishlist:item=1128225405&perks=2840833776,1549370717,2489430594
dimwishlist:item=1128225405&perks=3700496672,4104185692,2489430594
dimwishlist:item=1128225405&perks=3700496672,3007133316,2489430594
dimwishlist:item=1128225405&perks=2840833776,4104185692,2489430594
dimwishlist:item=1128225405&perks=2840833776,3007133316,2489430594
dimwishlist:item=1128225405&perks=3700496672,4049631843,2489430594
dimwishlist:item=1128225405&perks=3700496672,859780267,2489430594
dimwishlist:item=1128225405&perks=2840833776,4049631843,2489430594
dimwishlist:item=1128225405&perks=2840833776,859780267,2489430594
dimwishlist:item=1128225405&perks=3038247973,3891536761,2489430594
dimwishlist:item=1128225405&perks=3038247973,1549370717,2489430594
dimwishlist:item=1128225405&perks=64866129,3891536761,2489430594
dimwishlist:item=1128225405&perks=64866129,1549370717,2489430594
dimwishlist:item=1128225405&perks=3038247973,4104185692,2489430594
dimwishlist:item=1128225405&perks=3038247973,3007133316,2489430594
dimwishlist:item=1128225405&perks=64866129,4104185692,2489430594
dimwishlist:item=1128225405&perks=64866129,3007133316,2489430594
dimwishlist:item=1128225405&perks=3038247973,4049631843,2489430594
dimwishlist:item=1128225405&perks=3038247973,859780267,2489430594
dimwishlist:item=1128225405&perks=64866129,4049631843,2489430594
dimwishlist:item=1128225405&perks=64866129,859780267,2489430594
dimwishlist:item=2499720827&perks=1561789734,3891536761,2489430594
dimwishlist:item=2499720827&perks=1561789734,1549370717,2489430594
dimwishlist:item=2499720827&perks=1183436451,3891536761,2489430594
dimwishlist:item=2499720827&perks=1183436451,1549370717,2489430594
dimwishlist:item=2499720827&perks=1561789734,4104185692,2489430594
dimwishlist:item=2499720827&perks=1561789734,3007133316,2489430594
dimwishlist:item=2499720827&perks=1183436451,4104185692,2489430594
dimwishlist:item=2499720827&perks=1183436451,3007133316,2489430594
dimwishlist:item=2499720827&perks=1561789734,4049631843,2489430594
dimwishlist:item=2499720827&perks=1561789734,859780267,2489430594
dimwishlist:item=2499720827&perks=1183436451,4049631843,2489430594
dimwishlist:item=2499720827&perks=1183436451,859780267,2489430594
dimwishlist:item=2499720827&perks=3700496672,3891536761,2489430594
dimwishlist:item=2499720827&perks=3700496672,1549370717,2489430594
dimwishlist:item=2499720827&perks=2840833776,3891536761,2489430594
dimwishlist:item=2499720827&perks=2840833776,1549370717,2489430594
dimwishlist:item=2499720827&perks=3700496672,4104185692,2489430594
dimwishlist:item=2499720827&perks=3700496672,3007133316,2489430594
dimwishlist:item=2499720827&perks=2840833776,4104185692,2489430594
dimwishlist:item=2499720827&perks=2840833776,3007133316,2489430594
dimwishlist:item=2499720827&perks=3700496672,4049631843,2489430594
dimwishlist:item=2499720827&perks=3700496672,859780267,2489430594
dimwishlist:item=2499720827&perks=2840833776,4049631843,2489430594
dimwishlist:item=2499720827&perks=2840833776,859780267,2489430594
dimwishlist:item=2499720827&perks=3038247973,3891536761,2489430594
dimwishlist:item=2499720827&perks=3038247973,1549370717,2489430594
dimwishlist:item=2499720827&perks=64866129,3891536761,2489430594
dimwishlist:item=2499720827&perks=64866129,1549370717,2489430594
dimwishlist:item=2499720827&perks=3038247973,4104185692,2489430594
dimwishlist:item=2499720827&perks=3038247973,3007133316,2489430594
dimwishlist:item=2499720827&perks=64866129,4104185692,2489430594
dimwishlist:item=2499720827&perks=64866129,3007133316,2489430594
dimwishlist:item=2499720827&perks=3038247973,4049631843,2489430594
dimwishlist:item=2499720827&perks=3038247973,859780267,2489430594
dimwishlist:item=2499720827&perks=64866129,4049631843,2489430594
dimwishlist:item=2499720827&perks=64866129,859780267,2489430594
dimwishlist:item=2763843898&perks=1561789734,3891536761,2489430594
dimwishlist:item=2763843898&perks=1561789734,1549370717,2489430594
dimwishlist:item=2763843898&perks=1183436451,3891536761,2489430594
dimwishlist:item=2763843898&perks=1183436451,1549370717,2489430594
dimwishlist:item=2763843898&perks=1561789734,4104185692,2489430594
dimwishlist:item=2763843898&perks=1561789734,3007133316,2489430594
dimwishlist:item=2763843898&perks=1183436451,4104185692,2489430594
dimwishlist:item=2763843898&perks=1183436451,3007133316,2489430594
dimwishlist:item=2763843898&perks=1561789734,4049631843,2489430594
dimwishlist:item=2763843898&perks=1561789734,859780267,2489430594
dimwishlist:item=2763843898&perks=1183436451,4049631843,2489430594
dimwishlist:item=2763843898&perks=1183436451,859780267,2489430594
dimwishlist:item=2763843898&perks=3700496672,3891536761,2489430594
dimwishlist:item=2763843898&perks=3700496672,1549370717,2489430594
dimwishlist:item=2763843898&perks=2840833776,3891536761,2489430594
dimwishlist:item=2763843898&perks=2840833776,1549370717,2489430594
dimwishlist:item=2763843898&perks=3700496672,4104185692,2489430594
dimwishlist:item=2763843898&perks=3700496672,3007133316,2489430594
dimwishlist:item=2763843898&perks=2840833776,4104185692,2489430594
dimwishlist:item=2763843898&perks=2840833776,3007133316,2489430594
dimwishlist:item=2763843898&perks=3700496672,4049631843,2489430594
dimwishlist:item=2763843898&perks=3700496672,859780267,2489430594
dimwishlist:item=2763843898&perks=2840833776,4049631843,2489430594
dimwishlist:item=2763843898&perks=2840833776,859780267,2489430594
dimwishlist:item=2763843898&perks=3038247973,3891536761,2489430594
dimwishlist:item=2763843898&perks=3038247973,1549370717,2489430594
dimwishlist:item=2763843898&perks=64866129,3891536761,2489430594
dimwishlist:item=2763843898&perks=64866129,1549370717,2489430594
dimwishlist:item=2763843898&perks=3038247973,4104185692,2489430594
dimwishlist:item=2763843898&perks=3038247973,3007133316,2489430594
dimwishlist:item=2763843898&perks=64866129,4104185692,2489430594
dimwishlist:item=2763843898&perks=64866129,3007133316,2489430594
dimwishlist:item=2763843898&perks=3038247973,4049631843,2489430594
dimwishlist:item=2763843898&perks=3038247973,859780267,2489430594
dimwishlist:item=2763843898&perks=64866129,4049631843,2489430594
dimwishlist:item=2763843898&perks=64866129,859780267,2489430594



//notes:Fatebringer - Rank 12, Tier A by TheAegisRelic __ Column 1: Explosive Payload, Kinetic Tremors __ Column 2: Firefly, One for All, Frenzy __ Origin Trait: Timelost Magazine
dimwishlist:item=1216319404&perks=3038247973,1561789734,2589407652
dimwishlist:item=1216319404&perks=3038247973,1183436451,2589407652
dimwishlist:item=1216319404&perks=64866129,1561789734,2589407652
dimwishlist:item=1216319404&perks=64866129,1183436451,2589407652
dimwishlist:item=1216319404&perks=3038247973,4049631843,2589407652
dimwishlist:item=1216319404&perks=3038247973,859780267,2589407652
dimwishlist:item=1216319404&perks=64866129,4049631843,2589407652
dimwishlist:item=1216319404&perks=64866129,859780267,2589407652
dimwishlist:item=1216319404&perks=3038247973,4104185692,2589407652
dimwishlist:item=1216319404&perks=3038247973,3007133316,2589407652
dimwishlist:item=1216319404&perks=64866129,4104185692,2589407652
dimwishlist:item=1216319404&perks=64866129,3007133316,2589407652
dimwishlist:item=1216319404&perks=3891536761,1561789734,2589407652
dimwishlist:item=1216319404&perks=3891536761,1183436451,2589407652
dimwishlist:item=1216319404&perks=1549370717,1561789734,2589407652
dimwishlist:item=1216319404&perks=1549370717,1183436451,2589407652
dimwishlist:item=1216319404&perks=3891536761,4049631843,2589407652
dimwishlist:item=1216319404&perks=3891536761,859780267,2589407652
dimwishlist:item=1216319404&perks=1549370717,4049631843,2589407652
dimwishlist:item=1216319404&perks=1549370717,859780267,2589407652
dimwishlist:item=1216319404&perks=3891536761,4104185692,2589407652
dimwishlist:item=1216319404&perks=3891536761,3007133316,2589407652
dimwishlist:item=1216319404&perks=1549370717,4104185692,2589407652
dimwishlist:item=1216319404&perks=1549370717,3007133316,2589407652
dimwishlist:item=2171478765&perks=3038247973,1561789734,2589407652
dimwishlist:item=2171478765&perks=3038247973,1183436451,2589407652
dimwishlist:item=2171478765&perks=64866129,1561789734,2589407652
dimwishlist:item=2171478765&perks=64866129,1183436451,2589407652
dimwishlist:item=2171478765&perks=3038247973,4049631843,2589407652
dimwishlist:item=2171478765&perks=3038247973,859780267,2589407652
dimwishlist:item=2171478765&perks=64866129,4049631843,2589407652
dimwishlist:item=2171478765&perks=64866129,859780267,2589407652
dimwishlist:item=2171478765&perks=3038247973,4104185692,2589407652
dimwishlist:item=2171478765&perks=3038247973,3007133316,2589407652
dimwishlist:item=2171478765&perks=64866129,4104185692,2589407652
dimwishlist:item=2171478765&perks=64866129,3007133316,2589407652
dimwishlist:item=2171478765&perks=3891536761,1561789734,2589407652
dimwishlist:item=2171478765&perks=3891536761,1183436451,2589407652
dimwishlist:item=2171478765&perks=1549370717,1561789734,2589407652
dimwishlist:item=2171478765&perks=1549370717,1183436451,2589407652
dimwishlist:item=2171478765&perks=3891536761,4049631843,2589407652
dimwishlist:item=2171478765&perks=3891536761,859780267,2589407652
dimwishlist:item=2171478765&perks=1549370717,4049631843,2589407652
dimwishlist:item=2171478765&perks=1549370717,859780267,2589407652
dimwishlist:item=2171478765&perks=3891536761,4104185692,2589407652
dimwishlist:item=2171478765&perks=3891536761,3007133316,2589407652
dimwishlist:item=2171478765&perks=1549370717,4104185692,2589407652
dimwishlist:item=2171478765&perks=1549370717,3007133316,2589407652
dimwishlist:item=4184168210&perks=3038247973,1561789734,2589407652
dimwishlist:item=4184168210&perks=3038247973,1183436451,2589407652
dimwishlist:item=4184168210&perks=64866129,1561789734,2589407652
dimwishlist:item=4184168210&perks=64866129,1183436451,2589407652
dimwishlist:item=4184168210&perks=3038247973,4049631843,2589407652
dimwishlist:item=4184168210&perks=3038247973,859780267,2589407652
dimwishlist:item=4184168210&perks=64866129,4049631843,2589407652
dimwishlist:item=4184168210&perks=64866129,859780267,2589407652
dimwishlist:item=4184168210&perks=3038247973,4104185692,2589407652
dimwishlist:item=4184168210&perks=3038247973,3007133316,2589407652
dimwishlist:item=4184168210&perks=64866129,4104185692,2589407652
dimwishlist:item=4184168210&perks=64866129,3007133316,2589407652
dimwishlist:item=4184168210&perks=3891536761,1561789734,2589407652
dimwishlist:item=4184168210&perks=3891536761,1183436451,2589407652
dimwishlist:item=4184168210&perks=1549370717,1561789734,2589407652
dimwishlist:item=4184168210&perks=1549370717,1183436451,2589407652
dimwishlist:item=4184168210&perks=3891536761,4049631843,2589407652
dimwishlist:item=4184168210&perks=3891536761,859780267,2589407652
dimwishlist:item=4184168210&perks=1549370717,4049631843,2589407652
dimwishlist:item=4184168210&perks=1549370717,859780267,2589407652
dimwishlist:item=4184168210&perks=3891536761,4104185692,2589407652
dimwishlist:item=4184168210&perks=3891536761,3007133316,2589407652
dimwishlist:item=4184168210&perks=1549370717,4104185692,2589407652
dimwishlist:item=4184168210&perks=1549370717,3007133316,2589407652
dimwishlist:item=4219826183&perks=3038247973,1561789734,2589407652
dimwishlist:item=4219826183&perks=3038247973,1183436451,2589407652
dimwishlist:item=4219826183&perks=64866129,1561789734,2589407652
dimwishlist:item=4219826183&perks=64866129,1183436451,2589407652
dimwishlist:item=4219826183&perks=3038247973,4049631843,2589407652
dimwishlist:item=4219826183&perks=3038247973,859780267,2589407652
dimwishlist:item=4219826183&perks=64866129,4049631843,2589407652
dimwishlist:item=4219826183&perks=64866129,859780267,2589407652
dimwishlist:item=4219826183&perks=3038247973,4104185692,2589407652
dimwishlist:item=4219826183&perks=3038247973,3007133316,2589407652
dimwishlist:item=4219826183&perks=64866129,4104185692,2589407652
dimwishlist:item=4219826183&perks=64866129,3007133316,2589407652
dimwishlist:item=4219826183&perks=3891536761,1561789734,2589407652
dimwishlist:item=4219826183&perks=3891536761,1183436451,2589407652
dimwishlist:item=4219826183&perks=1549370717,1561789734,2589407652
dimwishlist:item=4219826183&perks=1549370717,1183436451,2589407652
dimwishlist:item=4219826183&perks=3891536761,4049631843,2589407652
dimwishlist:item=4219826183&perks=3891536761,859780267,2589407652
dimwishlist:item=4219826183&perks=1549370717,4049631843,2589407652
dimwishlist:item=4219826183&perks=1549370717,859780267,2589407652
dimwishlist:item=4219826183&perks=3891536761,4104185692,2589407652
dimwishlist:item=4219826183&perks=3891536761,3007133316,2589407652
dimwishlist:item=4219826183&perks=1549370717,4104185692,2589407652
dimwishlist:item=4219826183&perks=1549370717,3007133316,2589407652



//notes:Maahes HC4 - Rank 13, Tier A by TheAegisRelic __ Column 1: Repulsor Brace, Enlightened Action __ Column 2: Destabilizing Rounds, Dragonfly __ Origin Trait: Omolon Fluid Dynamics
dimwishlist:item=1246793994&perks=776531651,2048641572,2839173408
dimwishlist:item=1246793994&perks=776531651,1926441324,2839173408
dimwishlist:item=1246793994&perks=2541826827,2048641572,2839173408
dimwishlist:item=1246793994&perks=2541826827,1926441324,2839173408
dimwishlist:item=1246793994&perks=776531651,2848615171,2839173408
