// SMGs - 2025-09-13T18:16:27.959Z
//notes:Multimach CCX - Rank 1, Tier S by TheAegisRelic __ Column 1: Attrition Orbs __ Column 2: Kinetic Tremors, Frenzy __ Origin Trait: Field-Tested
dimwishlist:item=3293207827&perks=3017780555,3640170453,2437618208
dimwishlist:item=3293207827&perks=3017780555,1817983009,2437618208
dimwishlist:item=3293207827&perks=4223976499,3640170453,2437618208
dimwishlist:item=3293207827&perks=4223976499,1817983009,2437618208
dimwishlist:item=3293207827&perks=3017780555,2890807135,2437618208
dimwishlist:item=3293207827&perks=3017780555,3581929919,2437618208
dimwishlist:item=3293207827&perks=4223976499,2890807135,2437618208
dimwishlist:item=3293207827&perks=4223976499,3581929919,2437618208
dimwishlist:item=3293207827&perks=243981275,4293542123,2437618208
dimwishlist:item=3293207827&perks=243981275,2675184851,2437618208
dimwishlist:item=3293207827&perks=984655331,4293542123,2437618208
dimwishlist:item=3293207827&perks=984655331,2675184851,2437618208
dimwishlist:item=3293207827&perks=243981275,3640170453,2437618208
dimwishlist:item=3293207827&perks=243981275,1817983009,2437618208
dimwishlist:item=3293207827&perks=984655331,3640170453,2437618208
dimwishlist:item=3293207827&perks=984655331,1817983009,2437618208
dimwishlist:item=3293207827&perks=243981275,2890807135,2437618208
dimwishlist:item=3293207827&perks=243981275,3581929919,2437618208
dimwishlist:item=3293207827&perks=984655331,2890807135,2437618208
dimwishlist:item=3293207827&perks=984655331,3581929919,2437618208
dimwishlist:item=3293207827&perks=3523296417,4293542123,2437618208
dimwishlist:item=3293207827&perks=3523296417,2675184851,2437618208
dimwishlist:item=3293207827&perks=1906147653,4293542123,2437618208
dimwishlist:item=3293207827&perks=1906147653,2675184851,2437618208
dimwishlist:item=3293207827&perks=3523296417,3640170453,2437618208
dimwishlist:item=3293207827&perks=3523296417,1817983009,2437618208
dimwishlist:item=3293207827&perks=1906147653,3640170453,2437618208
dimwishlist:item=3293207827&perks=1906147653,1817983009,2437618208
dimwishlist:item=3293207827&perks=3523296417,2890807135,2437618208
dimwishlist:item=3293207827&perks=3523296417,3581929919,2437618208
dimwishlist:item=3293207827&perks=1906147653,2890807135,2437618208
dimwishlist:item=3293207827&perks=1906147653,3581929919,2437618208



//notes:The Recluse - Rank 3, Tier S by TheAegisRelic __ Column 1: Repulsor Brace, Enlightened Action __ Column 2: Destabilizing Rounds, Surrounded __ Origin Trait: Indomitability
dimwishlist:item=1050806815&perks=776531651,2048641572,2489430594
dimwishlist:item=1050806815&perks=776531651,1926441324,2489430594
dimwishlist:item=1050806815&perks=2541826827,2048641572,2489430594
dimwishlist:item=1050806815&perks=2541826827,1926441324,2489430594
dimwishlist:item=1050806815&perks=776531651,3708227201,2489430594
dimwishlist:item=1050806815&perks=776531651,781192741,2489430594
dimwishlist:item=1050806815&perks=2541826827,3708227201,2489430594
dimwishlist:item=1050806815&perks=2541826827,781192741,2489430594
dimwishlist:item=1050806815&perks=777589557,2048641572,2489430594
dimwishlist:item=1050806815&perks=777589557,1926441324,2489430594
dimwishlist:item=1050806815&perks=1771736209,2048641572,2489430594
dimwishlist:item=1050806815&perks=1771736209,1926441324,2489430594
dimwishlist:item=1050806815&perks=777589557,3708227201,2489430594
dimwishlist:item=1050806815&perks=777589557,781192741,2489430594
dimwishlist:item=1050806815&perks=1771736209,3708227201,2489430594
dimwishlist:item=1050806815&perks=1771736209,781192741,2489430594
dimwishlist:item=3098328572&perks=776531651,2048641572,2489430594
dimwishlist:item=3098328572&perks=776531651,1926441324,2489430594
dimwishlist:item=3098328572&perks=2541826827,2048641572,2489430594
dimwishlist:item=3098328572&perks=2541826827,1926441324,2489430594
dimwishlist:item=3098328572&perks=776531651,3708227201,2489430594
dimwishlist:item=3098328572&perks=776531651,781192741,2489430594
dimwishlist:item=3098328572&perks=2541826827,3708227201,2489430594
dimwishlist:item=3098328572&perks=2541826827,781192741,2489430594
dimwishlist:item=3098328572&perks=777589557,2048641572,2489430594
dimwishlist:item=3098328572&perks=777589557,1926441324,2489430594
dimwishlist:item=3098328572&perks=1771736209,2048641572,2489430594
dimwishlist:item=3098328572&perks=1771736209,1926441324,2489430594
dimwishlist:item=3098328572&perks=777589557,3708227201,2489430594
dimwishlist:item=3098328572&perks=777589557,781192741,2489430594
dimwishlist:item=3098328572&perks=1771736209,3708227201,2489430594
dimwishlist:item=3098328572&perks=1771736209,781192741,2489430594
dimwishlist:item=3354242550&perks=776531651,2048641572,2489430594
dimwishlist:item=3354242550&perks=776531651,1926441324,2489430594
dimwishlist:item=3354242550&perks=2541826827,2048641572,2489430594
dimwishlist:item=3354242550&perks=2541826827,1926441324,2489430594
dimwishlist:item=3354242550&perks=776531651,3708227201,2489430594
dimwishlist:item=3354242550&perks=776531651,781192741,2489430594
dimwishlist:item=3354242550&perks=2541826827,3708227201,2489430594
dimwishlist:item=3354242550&perks=2541826827,781192741,2489430594
dimwishlist:item=3354242550&perks=777589557,2048641572,2489430594
dimwishlist:item=3354242550&perks=777589557,1926441324,2489430594
dimwishlist:item=3354242550&perks=1771736209,2048641572,2489430594
dimwishlist:item=3354242550&perks=1771736209,1926441324,2489430594
dimwishlist:item=3354242550&perks=777589557,3708227201,2489430594
dimwishlist:item=3354242550&perks=777589557,781192741,2489430594
dimwishlist:item=3354242550&perks=1771736209,3708227201,2489430594
dimwishlist:item=3354242550&perks=1771736209,781192741,2489430594



//notes:MIDA Mini-Tool - Rank 4, Tier S by TheAegisRelic __ Column 1: Heal Clip, Attrition Orbs, Loose Change __ Column 2: Incandescent, Burning Ambition, Collective Pugilism __ Origin Trait: Vanguard Determination
dimwishlist:item=3089417788&perks=3017780555,4293542123,3846229553
dimwishlist:item=3089417788&perks=3017780555,2675184851,3846229553
dimwishlist:item=3089417788&perks=4223976499,4293542123,3846229553
dimwishlist:item=3089417788&perks=4223976499,2675184851,3846229553
dimwishlist:item=3089417788&perks=3017780555,2890807135,3846229553
dimwishlist:item=3089417788&perks=3017780555,3581929919,3846229553
dimwishlist:item=3089417788&perks=4223976499,2890807135,3846229553
dimwishlist:item=3089417788&perks=4223976499,3581929919,3846229553
dimwishlist:item=3089417788&perks=3017780555,1888882410,3846229553
dimwishlist:item=3089417788&perks=3017780555,3684445958,3846229553
dimwishlist:item=3089417788&perks=4223976499,1888882410,3846229553
dimwishlist:item=3089417788&perks=4223976499,3684445958,3846229553
dimwishlist:item=3089417788&perks=243981275,4293542123,3846229553
dimwishlist:item=3089417788&perks=243981275,2675184851,3846229553
dimwishlist:item=3089417788&perks=984655331,4293542123,3846229553
dimwishlist:item=3089417788&perks=984655331,2675184851,3846229553
dimwishlist:item=3089417788&perks=243981275,2890807135,3846229553
dimwishlist:item=3089417788&perks=243981275,3581929919,3846229553
dimwishlist:item=3089417788&perks=984655331,2890807135,3846229553
dimwishlist:item=3089417788&perks=984655331,3581929919,3846229553
dimwishlist:item=3089417788&perks=243981275,1888882410,3846229553
dimwishlist:item=3089417788&perks=243981275,3684445958,3846229553
dimwishlist:item=3089417788&perks=984655331,1888882410,3846229553
dimwishlist:item=3089417788&perks=984655331,3684445958,3846229553
dimwishlist:item=3089417788&perks=1119449540,4293542123,3846229553
dimwishlist:item=3089417788&perks=1119449540,2675184851,3846229553
dimwishlist:item=3089417788&perks=561986700,4293542123,3846229553
dimwishlist:item=3089417788&perks=561986700,2675184851,3846229553
dimwishlist:item=3089417788&perks=1119449540,2890807135,3846229553
dimwishlist:item=3089417788&perks=1119449540,3581929919,3846229553
dimwishlist:item=3089417788&perks=561986700,2890807135,3846229553
dimwishlist:item=3089417788&perks=561986700,3581929919,3846229553
dimwishlist:item=3089417788&perks=1119449540,1888882410,3846229553
dimwishlist:item=3089417788&perks=1119449540,3684445958,3846229553
dimwishlist:item=3089417788&perks=561986700,1888882410,3846229553
dimwishlist:item=3089417788&perks=561986700,3684445958,3846229553
dimwishlist:item=3946054154&perks=3017780555,4293542123,3846229553
dimwishlist:item=3946054154&perks=3017780555,2675184851,3846229553
dimwishlist:item=3946054154&perks=4223976499,4293542123,3846229553
dimwishlist:item=3946054154&perks=4223976499,2675184851,3846229553
dimwishlist:item=3946054154&perks=3017780555,2890807135,3846229553
dimwishlist:item=3946054154&perks=3017780555,3581929919,3846229553
dimwishlist:item=3946054154&perks=4223976499,2890807135,3846229553
dimwishlist:item=3946054154&perks=4223976499,3581929919,3846229553
dimwishlist:item=3946054154&perks=3017780555,1888882410,3846229553
dimwishlist:item=3946054154&perks=3017780555,3684445958,3846229553
dimwishlist:item=3946054154&perks=4223976499,1888882410,3846229553
dimwishlist:item=3946054154&perks=4223976499,3684445958,3846229553
dimwishlist:item=3946054154&perks=243981275,4293542123,3846229553
dimwishlist:item=3946054154&perks=243981275,2675184851,3846229553
dimwishlist:item=3946054154&perks=984655331,4293542123,3846229553
dimwishlist:item=3946054154&perks=984655331,2675184851,3846229553
dimwishlist:item=3946054154&perks=243981275,2890807135,3846229553
dimwishlist:item=3946054154&perks=243981275,3581929919,3846229553
dimwishlist:item=3946054154&perks=984655331,2890807135,3846229553
dimwishlist:item=3946054154&perks=984655331,3581929919,3846229553
dimwishlist:item=3946054154&perks=243981275,1888882410,3846229553
dimwishlist:item=3946054154&perks=243981275,3684445958,3846229553
dimwishlist:item=3946054154&perks=984655331,1888882410,3846229553
dimwishlist:item=3946054154&perks=984655331,3684445958,3846229553
dimwishlist:item=3946054154&perks=1119449540,4293542123,3846229553
dimwishlist:item=3946054154&perks=1119449540,2675184851,3846229553
dimwishlist:item=3946054154&perks=561986700,4293542123,3846229553
dimwishlist:item=3946054154&perks=561986700,2675184851,3846229553
dimwishlist:item=3946054154&perks=1119449540,2890807135,3846229553
dimwishlist:item=3946054154&perks=1119449540,3581929919,3846229553
dimwishlist:item=3946054154&perks=561986700,2890807135,3846229553
dimwishlist:item=3946054154&perks=561986700,3581929919,3846229553
dimwishlist:item=3946054154&perks=1119449540,1888882410,3846229553
dimwishlist:item=3946054154&perks=1119449540,3684445958,3846229553
dimwishlist:item=3946054154&perks=561986700,1888882410,3846229553
dimwishlist:item=3946054154&perks=561986700,3684445958,3846229553



//notes:The Title - Rank 5, Tier S by TheAegisRelic __ Column 1: Repulsor Brace, Threat Detector __ Column 2: Destabilizing Rounds, Surrounded __ Origin Trait: Hakke Breach Armaments
dimwishlist:item=55393445&perks=776531651,2048641572,1607056502
dimwishlist:item=55393445&perks=776531651,1926441324,1607056502
dimwishlist:item=55393445&perks=2541826827,2048641572,1607056502
dimwishlist:item=55393445&perks=2541826827,1926441324,1607056502
dimwishlist:item=55393445&perks=776531651,3708227201,1607056502
dimwishlist:item=55393445&perks=776531651,781192741,1607056502
dimwishlist:item=55393445&perks=2541826827,3708227201,1607056502
dimwishlist:item=55393445&perks=2541826827,781192741,1607056502
dimwishlist:item=55393445&perks=4071163871,2048641572,1607056502
dimwishlist:item=55393445&perks=4071163871,1926441324,1607056502
dimwishlist:item=55393445&perks=494941759,2048641572,1607056502
dimwishlist:item=55393445&perks=494941759,1926441324,1607056502
dimwishlist:item=55393445&perks=4071163871,3708227201,1607056502
dimwishlist:item=55393445&perks=4071163871,781192741,1607056502
dimwishlist:item=55393445&perks=494941759,3708227201,1607056502
dimwishlist:item=55393445&perks=494941759,781192741,1607056502
dimwishlist:item=294129361&perks=776531651,2048641572,1607056502
dimwishlist:item=294129361&perks=776531651,1926441324,1607056502
dimwishlist:item=294129361&perks=2541826827,2048641572,1607056502
dimwishlist:item=294129361&perks=2541826827,1926441324,1607056502
dimwishlist:item=294129361&perks=776531651,3708227201,1607056502
dimwishlist:item=294129361&perks=776531651,781192741,1607056502
dimwishlist:item=294129361&perks=2541826827,3708227201,1607056502
dimwishlist:item=294129361&perks=2541826827,781192741,1607056502
dimwishlist:item=294129361&perks=4071163871,2048641572,1607056502
dimwishlist:item=294129361&perks=4071163871,1926441324,1607056502
dimwishlist:item=294129361&perks=494941759,2048641572,1607056502
dimwishlist:item=294129361&perks=494941759,1926441324,1607056502
dimwishlist:item=294129361&perks=4071163871,3708227201,1607056502
dimwishlist:item=294129361&perks=4071163871,781192741,1607056502
dimwishlist:item=294129361&perks=494941759,3708227201,1607056502
dimwishlist:item=294129361&perks=494941759,781192741,1607056502
dimwishlist:item=655712834&perks=776531651,2048641572,1607056502
dimwishlist:item=655712834&perks=776531651,1926441324,1607056502
dimwishlist:item=655712834&perks=2541826827,2048641572,1607056502
dimwishlist:item=655712834&perks=2541826827,1926441324,1607056502
dimwishlist:item=655712834&perks=776531651,3708227201,1607056502
dimwishlist:item=655712834&perks=776531651,781192741,1607056502
dimwishlist:item=655712834&perks=2541826827,3708227201,1607056502
dimwishlist:item=655712834&perks=2541826827,781192741,1607056502
dimwishlist:item=655712834&perks=4071163871,2048641572,1607056502
dimwishlist:item=655712834&perks=4071163871,1926441324,1607056502
dimwishlist:item=655712834&perks=494941759,2048641572,1607056502
dimwishlist:item=655712834&perks=494941759,1926441324,1607056502
dimwishlist:item=655712834&perks=4071163871,3708227201,1607056502
dimwishlist:item=655712834&perks=4071163871,781192741,1607056502
dimwishlist:item=655712834&perks=494941759,3708227201,1607056502
dimwishlist:item=655712834&perks=494941759,781192741,1607056502
dimwishlist:item=3559361670&perks=776531651,2048641572,1607056502
dimwishlist:item=3559361670&perks=776531651,1926441324,1607056502
dimwishlist:item=3559361670&perks=2541826827,2048641572,1607056502
dimwishlist:item=3559361670&perks=2541826827,1926441324,1607056502
dimwishlist:item=3559361670&perks=776531651,3708227201,1607056502
dimwishlist:item=3559361670&perks=776531651,781192741,1607056502
dimwishlist:item=3559361670&perks=2541826827,3708227201,1607056502
dimwishlist:item=3559361670&perks=2541826827,781192741,1607056502
dimwishlist:item=3559361670&perks=4071163871,2048641572,1607056502
dimwishlist:item=3559361670&perks=4071163871,1926441324,1607056502
dimwishlist:item=3559361670&perks=494941759,2048641572,1607056502
dimwishlist:item=3559361670&perks=494941759,1926441324,1607056502
dimwishlist:item=3559361670&perks=4071163871,3708227201,1607056502
dimwishlist:item=3559361670&perks=4071163871,781192741,1607056502
dimwishlist:item=3559361670&perks=494941759,3708227201,1607056502
dimwishlist:item=3559361670&perks=494941759,781192741,1607056502



//notes:Gunburn - Rank 6, Tier A by TheAegisRelic __ Column 1: Bewildering Burst, Lead from Light, Pugilist __ Column 2: Kinetic Tremors, Ancillary Ordinance, Attrition Orbs __ Origin Trait: Veist Stinger
dimwishlist:item=72775246&perks=2289534249,3891536761,3988215619
dimwishlist:item=72775246&perks=2289534249,1549370717,3988215619
dimwishlist:item=72775246&perks=3914874605,3891536761,3988215619
dimwishlist:item=72775246&perks=3914874605,1549370717,3988215619
dimwishlist:item=72775246&perks=2289534249,1202584452,3988215619
dimwishlist:item=72775246&perks=2289534249,2138673996,3988215619
dimwishlist:item=72775246&perks=3914874605,1202584452,3988215619
dimwishlist:item=72775246&perks=3914874605,2138673996,3988215619
dimwishlist:item=72775246&perks=2289534249,243981275,3988215619
dimwishlist:item=72775246&perks=2289534249,984655331,3988215619
dimwishlist:item=72775246&perks=3914874605,243981275,3988215619
dimwishlist:item=72775246&perks=3914874605,984655331,3988215619
dimwishlist:item=72775246&perks=1570399071,3891536761,3988215619
dimwishlist:item=72775246&perks=1570399071,1549370717,3988215619
dimwishlist:item=72775246&perks=1661646271,3891536761,3988215619
dimwishlist:item=72775246&perks=1661646271,1549370717,3988215619
dimwishlist:item=72775246&perks=1570399071,1202584452,3988215619
dimwishlist:item=72775246&perks=1570399071,2138673996,3988215619
dimwishlist:item=72775246&perks=1661646271,1202584452,3988215619
dimwishlist:item=72775246&perks=1661646271,2138673996,3988215619
dimwishlist:item=72775246&perks=1570399071,243981275,3988215619
dimwishlist:item=72775246&perks=1570399071,984655331,3988215619
dimwishlist:item=72775246&perks=1661646271,243981275,3988215619
dimwishlist:item=72775246&perks=1661646271,984655331,3988215619
dimwishlist:item=72775246&perks=691659142,3891536761,3988215619
dimwishlist:item=72775246&perks=691659142,1549370717,3988215619
dimwishlist:item=72775246&perks=536173722,3891536761,3988215619
dimwishlist:item=72775246&perks=536173722,1549370717,3988215619
dimwishlist:item=72775246&perks=691659142,1202584452,3988215619
dimwishlist:item=72775246&perks=691659142,2138673996,3988215619
dimwishlist:item=72775246&perks=536173722,1202584452,3988215619
dimwishlist:item=72775246&perks=536173722,2138673996,3988215619
dimwishlist:item=72775246&perks=691659142,243981275,3988215619
dimwishlist:item=72775246&perks=691659142,984655331,3988215619
dimwishlist:item=72775246&perks=536173722,243981275,3988215619
dimwishlist:item=72775246&perks=536173722,984655331,3988215619
dimwishlist:item=3431536253&perks=2289534249,3891536761,3988215619
dimwishlist:item=3431536253&perks=2289534249,1549370717,3988215619
dimwishlist:item=3431536253&perks=3914874605,3891536761,3988215619
dimwishlist:item=3431536253&perks=3914874605,1549370717,3988215619
dimwishlist:item=3431536253&perks=2289534249,1202584452,3988215619
dimwishlist:item=3431536253&perks=2289534249,2138673996,3988215619
dimwishlist:item=3431536253&perks=3914874605,1202584452,3988215619
dimwishlist:item=3431536253&perks=3914874605,2138673996,3988215619
dimwishlist:item=3431536253&perks=2289534249,243981275,3988215619
dimwishlist:item=3431536253&perks=2289534249,984655331,3988215619
dimwishlist:item=3431536253&perks=3914874605,243981275,3988215619
dimwishlist:item=3431536253&perks=3914874605,984655331,3988215619
dimwishlist:item=3431536253&perks=1570399071,3891536761,3988215619
dimwishlist:item=3431536253&perks=1570399071,1549370717,3988215619
dimwishlist:item=3431536253&perks=1661646271,3891536761,3988215619
dimwishlist:item=3431536253&perks=1661646271,1549370717,3988215619
dimwishlist:item=3431536253&perks=1570399071,1202584452,3988215619
dimwishlist:item=3431536253&perks=1570399071,2138673996,3988215619
dimwishlist:item=3431536253&perks=1661646271,1202584452,3988215619
dimwishlist:item=3431536253&perks=1661646271,2138673996,3988215619
dimwishlist:item=3431536253&perks=1570399071,243981275,3988215619
dimwishlist:item=3431536253&perks=1570399071,984655331,3988215619
dimwishlist:item=3431536253&perks=1661646271,243981275,3988215619
dimwishlist:item=3431536253&perks=1661646271,984655331,3988215619
dimwishlist:item=3431536253&perks=691659142,3891536761,3988215619
dimwishlist:item=3431536253&perks=691659142,1549370717,3988215619
dimwishlist:item=3431536253&perks=536173722,3891536761,3988215619
dimwishlist:item=3431536253&perks=536173722,1549370717,3988215619
dimwishlist:item=3431536253&perks=691659142,1202584452,3988215619
dimwishlist:item=3431536253&perks=691659142,2138673996,3988215619
dimwishlist:item=3431536253&perks=536173722,1202584452,3988215619
dimwishlist:item=3431536253&perks=536173722,2138673996,3988215619
dimwishlist:item=3431536253&perks=691659142,243981275,3988215619
dimwishlist:item=3431536253&perks=691659142,984655331,3988215619
dimwishlist:item=3431536253&perks=536173722,243981275,3988215619
dimwishlist:item=3431536253&perks=536173722,984655331,3988215619



//notes:Imminence - Rank 7, Tier A by TheAegisRelic __ Column 1: Demolitionist, Slice, Enlightened Action __ Column 2: Firefly, Chaos Reshaped, Hatchling __ Origin Trait: Collective Purpose
dimwishlist:item=1258168956&perks=3523296417,1561789734,1878756191
dimwishlist:item=1258168956&perks=3523296417,1183436451,1878756191
dimwishlist:item=1258168956&perks=1906147653,1561789734,1878756191
dimwishlist:item=1258168956&perks=1906147653,1183436451,1878756191
dimwishlist:item=1258168956&perks=3523296417,3640170453,1878756191
dimwishlist:item=1258168956&perks=3523296417,1817983009,1878756191
dimwishlist:item=1258168956&perks=1906147653,3640170453,1878756191
dimwishlist:item=1258168956&perks=1906147653,1817983009,1878756191
dimwishlist:item=1258168956&perks=3523296417,831391274,1878756191
dimwishlist:item=1258168956&perks=3523296417,102912326,1878756191
dimwishlist:item=1258168956&perks=1906147653,831391274,1878756191
dimwishlist:item=1258168956&perks=1906147653,102912326,1878756191
dimwishlist:item=1258168956&perks=923806249,1561789734,1878756191
dimwishlist:item=1258168956&perks=923806249,1183436451,1878756191
dimwishlist:item=1258168956&perks=3422796781,1561789734,1878756191
dimwishlist:item=1258168956&perks=3422796781,1183436451,1878756191
dimwishlist:item=1258168956&perks=923806249,3640170453,1878756191
dimwishlist:item=1258168956&perks=923806249,1817983009,1878756191
dimwishlist:item=1258168956&perks=3422796781,3640170453,1878756191
dimwishlist:item=1258168956&perks=3422796781,1817983009,1878756191
dimwishlist:item=1258168956&perks=923806249,831391274,1878756191
dimwishlist:item=1258168956&perks=923806249,102912326,1878756191
dimwishlist:item=1258168956&perks=3422796781,831391274,1878756191
dimwishlist:item=1258168956&perks=3422796781,102912326,1878756191
dimwishlist:item=1258168956&perks=777589557,1561789734,1878756191
dimwishlist:item=1258168956&perks=777589557,1183436451,1878756191
dimwishlist:item=1258168956&perks=1771736209,1561789734,1878756191
dimwishlist:item=1258168956&perks=1771736209,1183436451,1878756191
dimwishlist:item=1258168956&perks=777589557,3640170453,1878756191
dimwishlist:item=1258168956&perks=777589557,1817983009,1878756191
dimwishlist:item=1258168956&perks=1771736209,3640170453,1878756191
dimwishlist:item=1258168956&perks=1771736209,1817983009,1878756191
dimwishlist:item=1258168956&perks=777589557,831391274,1878756191
dimwishlist:item=1258168956&perks=777589557,102912326,1878756191
dimwishlist:item=1258168956&perks=1771736209,831391274,1878756191
dimwishlist:item=1258168956&perks=1771736209,102912326,1878756191
dimwishlist:item=3951511045&perks=3523296417,1561789734,1878756191
dimwishlist:item=3951511045&perks=3523296417,1183436451,1878756191
dimwishlist:item=3951511045&perks=1906147653,1561789734,1878756191
dimwishlist:item=3951511045&perks=1906147653,1183436451,1878756191
dimwishlist:item=3951511045&perks=3523296417,3640170453,1878756191
dimwishlist:item=3951511045&perks=3523296417,1817983009,1878756191
dimwishlist:item=3951511045&perks=1906147653,3640170453,1878756191
dimwishlist:item=3951511045&perks=1906147653,1817983009,1878756191
dimwishlist:item=3951511045&perks=3523296417,831391274,1878756191
dimwishlist:item=3951511045&perks=3523296417,102912326,1878756191
dimwishlist:item=3951511045&perks=1906147653,831391274,1878756191
dimwishlist:item=3951511045&perks=1906147653,102912326,1878756191
dimwishlist:item=3951511045&perks=923806249,1561789734,1878756191
dimwishlist:item=3951511045&perks=923806249,1183436451,1878756191
dimwishlist:item=3951511045&perks=3422796781,1561789734,1878756191
dimwishlist:item=3951511045&perks=3422796781,1183436451,1878756191
dimwishlist:item=3951511045&perks=923806249,3640170453,1878756191
dimwishlist:item=3951511045&perks=923806249,1817983009,1878756191
dimwishlist:item=3951511045&perks=3422796781,3640170453,1878756191
dimwishlist:item=3951511045&perks=3422796781,1817983009,1878756191
dimwishlist:item=3951511045&perks=923806249,831391274,1878756191
dimwishlist:item=3951511045&perks=923806249,102912326,1878756191
dimwishlist:item=3951511045&perks=3422796781,831391274,1878756191
dimwishlist:item=3951511045&perks=3422796781,102912326,1878756191
dimwishlist:item=3951511045&perks=777589557,1561789734,1878756191
dimwishlist:item=3951511045&perks=777589557,1183436451,1878756191
dimwishlist:item=3951511045&perks=1771736209,1561789734,1878756191
dimwishlist:item=3951511045&perks=1771736209,1183436451,1878756191
dimwishlist:item=3951511045&perks=777589557,3640170453,1878756191
dimwishlist:item=3951511045&perks=777589557,1817983009,1878756191
dimwishlist:item=3951511045&perks=1771736209,3640170453,1878756191
dimwishlist:item=3951511045&perks=1771736209,1817983009,1878756191
dimwishlist:item=3951511045&perks=777589557,831391274,1878756191
